iter	Passed	Remaining
408	9456	13665
409	9485	13650
410	9510	13629
411	9537	13612
412	9559	13587
413	9582	13563
414	9604	13539
415	9626	13514
416	9646	13486
417	9671	13465
418	9692	13439
419	9712	13412
420	9731	13384
421	9752	13357
422	9774	13332
423	9796	13307
424	9816	13280
425	9839	13257
426	9862	13234
427	9883	13208
428	9904	13183
429	9926	13157
430	9945	13129
431	9965	13103
432	9987	13078
433	10007	13051
434	10029	13027
435	10052	13003
436	10071	12975
437	10093	12950
438	10113	12924
439	10136	12900
440	10157	12875
441	10179	12851
442	10201	12826
443	10222	12800
444	10241	12773
445	10261	12746
446	10281	12719
447	10300	12691
448	10323	12668
449	10345	12644
450	10367	12620
451	10387	12594
452	10408	12567
453	10429	12542
454	10452	12519
455	10475	12497
456	10499	12475
457	10525	12455
458	10546	12430
459	10568	12406
460	10588	12380
461	10611	12356
462	10633	12333
463	10654	12308
464	10675	12282
465	10696	12257
466	10715	12230
467	10736	12204
468	10759	12181
469	10780	12156
470	10803	12134
471	10826	12110
472	10846	12084
473	10867	12059
474	10890	12036
475	10911	12012
476	10931	11985
477	10950	11958
478	10974	11936
479	10996	11912
480	11017	11888
481	11039	11863
482	11059	11838
483	11080	11813
484	11102	11788
485	11121	11761
486	11141	11736
487	11162	11711
488	11185	11688
489	11206	11663
490	11228	11640
491	11248	11614
492	11267	11587
493	11292	11566
494	11314	11542
495	11335	11518
496	11355	11492
497	11380	11471
498	11401	11447
499	11422	11422
500	11443	11397
501	11468	11376
502	11487	11350
503	11509	11327
504	11529	11301
505	11550	11276
506	11571	11252
507	11592	11227
508	11615	11204
509	11638	11181
510	11659	11157
511	11679	11132
512	11702	11109
513	11725	11086
514	11747	11063
515	11767	11038
516	11789	11014
517	11811	10991
518	11831	10964
519	11852	10940
520	11871	10914
521	11890	10888
522	11912	10865
523	11935	10842
524	11956	10817
525	11977	10793
526	11996	10766
527	12016	10741
528	12038	10718
529	12058	10693
530	12081	10670
531	12102	10646
532	12123	10621
533	12144	10597
534	12166	10574
535	12188	10551
536	12210	10527
537	12232	10504
538	12255	10482
539	12276	10457
540	12299	10435
541	12321	10412
542	12344	10389
543	12365	10364
544	12386	10340
545	12407	10316
546	12429	10293
547	12453	10271
548	12473	10247
549	12492	10220
550	12514	10198
551	12537	10175
552	12561	10153
553	12579	10127
554	12599	10102
555	12620	10078
556	12641	10053
557	12662	10030
558	12682	10005
559	12703	9981
560	12725	9958
561	12746	9934
562	12767	9909
563	12788	9886
564	12810	9862
565	12830	9838
566	12851	9814
567	12876	9793
568	12894	9767
569	12913	9742
570	12932	9716
571	12954	9693
572	12977	9670
573	13000	9648
574	13020	9623
575	13043	9601
576	13063	9576
577	13084	9552
578	13103	9527
579	13123	9503
580	13145	9480
581	13165	9455
582	13186	9431
583	13208	9408
584	13227	9383
585	13247	9359
586	13267	9334
587	13289	9311
588	13311	9288
589	13332	9264
590	13354	9242
591	13379	9220
592	13398	9196
593	13421	9173
594	13441	9149
595	13463	9126
596	13486	9103
597	13506	9079
598	13526	9055
599	13547	9031
600	13571	9009
601	13594	8987
602	13615	8964
603	13637	8941
604	13661	8919
605	13681	8895
606	13703	8872
607	13722	8847
608	13742	8823
609	13765	8800
610	13787	8777
611	13811	8756
612	13832	8732
613	13851	8707
614	13873	8685
615	13894	8661
616	13915	8638
617	13938	8615
618	13961	8593
619	13982	8570
620	14006	8548
621	14025	8523
622	14049	8501
623	14067	8476
624	14086	8451
625	14109	8429
626	14131	8406
627	14154	8384
628	14174	8360
629	14197	8338
630	14217	8314
631	14237	8289
632	14256	8265
633	14276	8241
634	14297	8218
635	14321	8196
636	14343	8173
637	14364	8150
638	14386	8127
639	14409	8105
640	14434	8084
641	14457	8061
642	14479	8039
643	14500	8016
644	14520	7992
645	14542	7968
646	14564	7946
647	14585	7923
648	14604	7898
649	14627	7876
650	14649	7853
651	14672	7831
652	14691	7807
653	14714	7784
654	14733	7760
655	14755	7737
656	14777	7714
657	14797	7690
658	14818	7667
659	14839	7644
660	14860	7621
661	14882	7598
662	14904	7575
663	14925	7552
664	14948	7530
665	14970	7507
666	14991	7484
667	15010	7460
668	15033	7438
669	15057	7416
670	15076	7392
671	15103	7371
672	15127	7350
673	15150	7327
674	15171	7304
675	15194	7282
676	15215	7259
677	15238	7237
678	15258	7213
679	15278	7189
680	15298	7166
681	15320	7143
682	15340	7120
683	15363	7097
684	15387	7075
685	15408	7052
686	15427	7029
687	15449	7006
688	15468	6982
689	15489	6958
690	15508	6935
691	15531	6912
692	15551	6889
693	15570	6865
694	15594	6843
695	15615	6820
696	15636	6797
697	15655	6773
698	15676	6750
699	15696	6727
700	15717	6704
701	15740	6681
702	15760	6658
703	15783	6636
704	15804	6613
705	15825	6590
706	15847	6567
707	15868	6544
708	15889	6521
709	15913	6499
710	15935	6477
711	15954	6453
712	15973	6429
713	15995	6407
714	16016	6384
715	16040	6362
716	16062	6339
717	16083	6317
718	16105	6294
719	16128	6272
720	16152	6250
721	16172	6227
722	16196	6205
723	16217	6182
724	16240	6160
725	16259	6136
726	16279	6113
727	16302	6091
728	16325	6069
729	16347	6046
730	16368	6023
731	16388	6000
732	16410	5977
733	16433	5955
734	16454	5932
735	16475	5909
736	16493	5885
737	16514	5863
738	16534	5839
739	16584	5826
740	16609	5805
741	16630	5782
742	16651	5759
743	16674	5737
744	16694	5714
745	16715	5691
746	16738	5669
747	16760	5646
748	16781	5623
749	16802	5600
750	16823	5578
751	16847	5555
752	16867	5532
753	16887	5509
754	16909	5487
755	16930	5464
756	16952	5441
757	16973	5418
758	16993	5395
759	17015	5373
760	17035	5350
761	17056	5327
762	17078	5304
763	17096	5281
764	17120	5259
765	17140	5236
766	17162	5213
767	17182	5190
768	17201	5167
769	17224	5145
770	17244	5121
771	17268	5099
772	17287	5076
773	17308	5054
774	17329	5031
775	17351	5008
776	17372	4985
777	17393	4963
778	17416	4940
779	17436	4918
780	17457	4895
781	17479	4872
782	17502	4850
783	17521	4827
784	17542	4804
785	17565	4782
786	17587	4760
787	17609	4737
788	17630	4714
789	17649	4691
790	17669	4668
791	17692	4646
792	17713	4623
793	17735	4601
794	17806	4591
795	17833	4570
796	17850	4546
797	17870	4523
798	17891	4500
799	17914	4478
800	17935	4455
801	17953	4432
802	17973	4409
803	17994	4386
804	18013	4363
805	18036	4341
806	18062	4319
807	18083	4297
808	18102	4273
809	18125	4251
810	18147	4229
811	18170	4206
812	18190	4184
813	18209	4160
814	18231	4138
815	18251	4115
816	18271	4092
817	18294	4070
818	18315	4047
819	18335	4024
820	18357	4002
821	18378	3979
822	18400	3957
823	18422	3934
824	18444	3912
825	18466	3889
826	18488	3867
827	18509	3845
828	18530	3822
829	18553	3800
830	18570	3776
831	18593	3754
832	18614	3731
833	18633	3708
834	18656	3686
835	18678	3664
836	18699	3641
837	18720	3619
838	18742	3596
839	18764	3574
840	18786	3551
841	18806	3529
842	18829	3506
843	18854	3484
844	18874	3462
845	18894	3439
846	18916	3417
847	18938	3394
848	18961	3372
849	18980	3349
850	19002	3327
851	19025	3304
852	19046	3282
853	19067	3259
854	19090	3237
855	19111	3215
856	19132	3192
857	19155	3170
858	19174	3147
859	19199	3125
860	19222	3103
861	19242	3080
862	19262	3057
863	19283	3035
864	19304	3012
865	19324	2990
866	19348	2968
867	19368	2945
868	19390	2923
869	19412	2900
870	19432	2878
871	19450	2855
872	19471	2832
873	19493	2810
874	19514	2787
875	19535	2765
876	19556	2742
877	19577	2720
878	19600	2698
879	19621	2675
880	19644	2653
881	19665	2630
882	19686	2608
883	19707	2586
884	19726	2563
885	19747	2540
886	19767	2518
887	19788	2495
888	19809	2473
889	19832	2451
890	19853	2428
891	19873	2406
892	19896	2384
893	19915	2361
894	19936	2338
895	19956	2316
896	19976	2293
897	19997	2271
898	20018	2249
899	20040	2226
900	20061	2204
901	20081	2181
902	20103	2159
903	20125	2137
904	20146	2114
905	20167	2092
906	20190	2070
907	20214	2048
908	20237	2025
909	20257	2003
910	20277	1980
911	20298	1958
912	20319	1936
913	20341	1913
914	20361	1891
915	20383	1869
916	20406	1847
917	20426	1824
918	20449	1802
919	20468	1779
920	20488	1757
921	20509	1735
922	20530	1712
923	20550	1690
924	20570	1667
925	20590	1645
926	20611	1623
927	20632	1600
928	20655	1578
929	20674	1556
930	20695	1533
931	20718	1511
932	20737	1489
933	20759	1466
934	20781	1444
935	20799	1422
936	20824	1400
937	20845	1377
938	20865	1355
939	20888	1333
940	20910	1311
941	20932	1288
942	20952	1266
943	20974	1244
944	20995	1221
945	21013	1199
946	21035	1177
947	21057	1155
948	21077	1132
949	21102	1110
950	21122	1088
951	21146	1066
952	21169	1044
953	21188	1021
954	21209	999
955	21231	977
956	21252	954
957	21273	932
958	21294	910
959	21315	888
960	21337	865
961	21361	843
962	21381	821
963	21402	799
964	21422	776
965	21441	754
966	21464	732
967	21485	710
968	21506	688
969	21525	665
970	21545	643
971	21566	621
972	21587	599
973	21606	576
974	21629	554
975	21652	532
976	21673	510
977	21695	488
978	21715	465
979	21735	443
980	21756	421
981	21778	399
982	21798	376
983	21819	354
984	21842	332
985	21861	310
986	21881	288
987	21903	266
988	21922	243
989	21945	221
990	21967	199
991	21988	177
992	22008	155
993	22030	132
994	22051	110
995	22075	88
996	22098	66
997	22122	44
998	22143	22
999	22163	0
